EX_pi_e,EX_mn2_e,EX_fe2_e,EX_glc__D_e,EX_zn2_e,EX_mg2_e,EX_ca2_e,EX_ni2_e,EX_cu2_e,EX_cobalt2_e,EX_mobd_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,growth rate,cost,production rate,is pareto
47.5137036413431,0.001,0.1,5.33946319242507,0.001,5.757205688219138,2.1368531590546693,0.001,0.001,0.0001,0.0005,3.87603919114229,0.6503773851977945,15.643899911616225,61.545763405433426,1.5870160601596628,15.33276254035332,2.0730075842562723,5.92169690810246,6.938932294660781,0.85,2944.2542,0.0058126226,False
21.990005827542053,0.001,0.1,1.7671214411105205,0.001,6.46263285976892,1.116461938817992,0.001,0.001,0.0001,0.0005,3.359647435548496,5.566109195950756,8.560398032913275,29.81791359338327,7.784742700843761,17.001082638255053,2.811623833426106,1.3981280940515783,4.537022526735405,0.69484353,1624.9381,0.0,False
16.42602464158211,0.001,0.1,5.241513642727467,0.001,2.5836524264649308,7.769337652669731,0.001,0.001,0.0001,0.0005,7.26004441714383,1.137200445742591,9.758590935302106,88.57501778661117,4.7224210963928925,5.251332994478735,9.15382886476634,1.2087130243018185,3.1061880662530728,0.4715375,1897.0375,0.0,False
38.72364521486496,0.001,0.1,3.7684293637960216,0.001,0.17759240646918695,6.5978303077762845,0.001,0.001,0.0001,0.0005,0.38270111695986486,9.679572441878486,12.94215765186516,5.441553747460914,14.391985399489432,17.698627638253832,6.051852072992903,0.27695962604393776,3.371419442429292,0.85,2081.3794,0.0020357294,False
10.956346709705295,0.001,0.1,2.9904237242071248,0.001,4.062507243534328,7.77283240970738,0.001,0.001,0.0001,0.0005,2.8450377484743528,2.614291448889554,19.320012881142752,95.66563443048277,2.633161070514549,11.746802133564515,9.291715607388733,3.2519325277132403,8.457532455240454,0.71452427,2521.4,0.0,False
25.45760419861033,0.001,0.1,9.114085462536133,0.001,1.0990149681066907,3.713159145205159,0.001,0.001,0.0001,0.0005,9.069236364662164,4.782341757884421,11.39275183394757,38.79778958835897,18.311973240510213,1.332526064458115,8.168106739793862,4.175383876316461,7.563170747741088,0.3855214,2733.4844,0.0,False
33.69276706399209,0.001,0.1,9.315976125247591,0.001,2.9801469134861813,6.102204556961559,0.001,0.001,0.0001,0.0005,5.9889775945419474,4.266021169923949,6.265605863181582,31.387360370578943,17.14162901909206,4.5449990183975135,0.18606759526059502,0.9790311438599497,7.041809522891378,0.56914544,2008.8452,0.0,False
47.14121107498044,0.001,0.1,1.553010734376973,0.001,1.2555801449531745,0.4464079179971292,0.001,0.001,0.0001,0.0005,1.0834172605464687,2.8532052473583827,9.717967135195941,66.17019501056824,1.1723079787832846,3.427504039260061,3.8497458929013417,3.396186359971142,4.332273673109296,0.22135575,2284.2703,0.0,False
19.700553086490153,0.001,0.1,5.628892823078002,0.001,4.618547417265091,9.85773965147901,0.001,0.001,0.0001,0.0005,1.1727527174542962,3.230676705780935,8.5393612472296,21.47276413288265,18.629648446200274,3.5194745117830606,4.993941387905407,8.712364666687222,8.612024020718263,0.41602713,2846.9866,0.0,False
4.821908147339743,0.001,0.1,7.025301370969307,0.001,7.09265351865569,4.666606941325354,0.001,0.001,0.0001,0.0005,3.5570646989369212,8.504860927408464,5.877370743018206,82.17003917500469,3.62149879082571,19.443913934428338,6.836345541940836,9.198575527540642,0.20028317613247082,0.85,1909.6011,0.014180677,False
